序号,代码,名称,市场代码简称,最新价(元) 14:10,涨跌幅(%) 14:10,东财行业分类二级,成交量环比增长率 2026.06.25,证券类型,成交量(股) 2026.06.24,成交量(股) 14:10,东财行业总分类,申万行业分类,概念,涨跌额(元) 14:10,最高价(元) 14:10,最低价(元) 14:10,换手率(%) 14:10,量比 14:10,成交额(元) 14:10,市盈率(动)(倍) 2026.06.25,市净率(倍) 2026.06.25,总市值(元) 2026.06.25,流通市值(元) 2026.06.25,CHOICE_INNER_CODE,IN_OPTIONAL,CHG<70>{2026-06-25}
21,002736,国信证券,SZ,10.43,2.25,证券Ⅱ,23.75,A股,4659.97万,5766.87万,非银金融-证券Ⅱ-证券Ⅲ,非银金融-证券Ⅱ-证券Ⅲ,周期股、融资融券、深证100R、深股通、证金持股、券商概念、标准普尔、深圳特区、深成500、大盘股、HS300_、深圳国企改革、互联网金融、央国企改革、大盘价值、科创板做市商、富时罗素、金融地产风格、MSCI中国,0.230,10.59,10.04,0.60,1.55,5.99亿,12.69,1.1046,1068.21亿,1002.58亿,1000324633,False,2.25
22,600369,西南证券,SH,4.17,2.21,证券Ⅱ,3.58,A股,6879.93万,7126.39万,非银金融-证券Ⅱ-证券Ⅲ,非银金融-证券Ⅱ-证券Ⅲ,中盘股、融资融券、西部大开发、参股期货、中盘成长、上证380、中证500、沪股通、券商概念、标准普尔、成渝特区、央国企改革、富时罗素、金融地产风格、2025年报预增、MSCI中国,0.090,4.22,4.02,1.07,1.37,2.95亿,22.32,1.0417,277.10亿,277.10亿,1000000892,False,2.21
23,601377,兴业证券,SH,6.23,2.13,证券Ⅱ,3.77,A股,1.66亿,1.73亿,非银金融-证券Ⅱ-证券Ⅲ,非银金融-证券Ⅱ-证券Ⅲ,福建自贸区、中盘股、周期股、融资融券、上证180_、证金持股、参股新三板、沪股通、券商概念、标准普尔、碳交易、IPO受益、HS300_、互联网金融、央国企改革、海峡两岸、科创板做市商、富时罗素、金融地产风格、MSCI中国,0.130,6.31,6.04,2.00,1.12,10.71亿,17.09,0.9484,537.16亿,537.16亿,1000000057,False,2.13
24,002500,山西证券,SZ,5.38,2.09,证券Ⅱ,9.93,A股,4047.48万,4449.53万,非银金融-证券Ⅱ-证券Ⅲ,非银金融-证券Ⅱ-证券Ⅲ,融资融券、深股通、证金持股、破发股、中证500、券商概念、标准普尔、深成500、小盘股、创投、互联网金融、央国企改革、富时罗素、破增发价股,0.110,5.44,5.19,1.24,1.28,2.37亿,18.93,1.0460,193.13亿,193.13亿,1000000062,False,2.09
25,601555,东吴证券,SH,8.11,2.01,证券Ⅱ,4.33,A股,5445.40万,5681.29万,非银金融-证券Ⅱ-证券Ⅲ,非银金融-证券Ⅱ-证券Ⅲ,中盘股、融资融券、参股期货、上证380、中证500、参股保险、沪股通、券商概念、标准普尔、创投、2025三季报预增、互联网金融、央国企改革、科创板做市商、富时罗素、金融地产风格、2025年报预增、MSCI中国,0.160,8.20,7.82,1.14,1.18,4.57亿,12.57,0.9211,402.96亿,402.96亿,1000002395,False,2.01
26,000166,申万宏源,SZ,4.59,2.00,证券Ⅱ,5.59,A股,1.64亿,1.73亿,非银金融-证券Ⅱ-证券Ⅲ,非银金融-证券Ⅱ-证券Ⅲ,周期股、融资融券、深证100R、西部大开发、参股期货、新疆振兴、深股通、证金持股、券商概念、标准普尔、深成500、大盘股、HS300_、互联网金融、央国企改革、科创板做市商、富时罗素、金融地产风格、2025年报预增、MSCI中国,0.090,4.65,4.44,0.77,1.43,7.90亿,12.20,1.0026,1149.33亿,1034.38亿,1000420071,False,2.00
27,601696,中银证券,SH,13.13,1.78,证券Ⅱ,32.60,A股,8936.26万,1.18亿,非银金融-证券Ⅱ-证券Ⅲ,非银金融-证券Ⅱ-证券Ⅲ,中盘股、互联网金融、融资融券、参股期货、中盘成长、上证380、中证500、富时罗素、金融地产风格、沪股通、MSCI中国、券商概念,0.230,13.39,12.69,4.27,1.16,15.53亿,25.22,1.8846,364.75亿,364.75亿,1001710173,False,1.78
28,002939,长城证券,SZ,8.67,1.76,证券Ⅱ,21.18,A股,3808.00万,4614.69万,非银金融-证券Ⅱ-证券Ⅲ,非银金融-证券Ⅱ-证券Ⅲ,中盘股、融资融券、参股期货、深股通、中证500、券商概念、标准普尔、深圳特区、深成500、互联网金融、央国企改革、富时罗素、金融地产风格、2025年报预增、MSCI中国,0.150,8.81,8.37,1.28,1.46,3.98亿,14.09,1.0722,349.78亿,312.35亿,1001030426,False,1.76
29,000686,东北证券,SZ,8.71,1.75,证券Ⅱ,1.43,A股,5881.11万,5965.12万,非银金融-证券Ⅱ-证券Ⅲ,非银金融-证券Ⅱ-证券Ⅲ,融资融券、东北振兴、参股期货、深股通、证金持股、参股新三板、券商概念、标准普尔、深成500、小盘股、互联网金融、富时罗素、2025年报预增,0.150,8.84,8.43,2.55,1.47,5.18亿,12.42,1.0037,203.85亿,203.85亿,1000002426,False,1.75
30,002670,国盛证券,SZ,12.01,1.69,证券Ⅱ,0.25,A股,3379.94万,3388.56万,非银金融-证券Ⅱ-证券Ⅲ,非银金融-证券Ⅱ-证券Ⅲ,中盘股、区块链、融资融券、参股期货、深股通、中盘成长、中证500、券商概念、标准普尔、深成500、参股券商、互联网金融、央国企改革、微利股、富时罗素、金融地产风格、2025年报预增,0.200,12.22,11.59,2.09,1.13,4.04亿,3956.05,2.0501,232.40亿,194.96亿,1000008924,False,1.69
31,002673,西部证券,SZ,6.75,1.66,证券Ⅱ,13.48,A股,4425.70万,5022.43万,非银金融-证券Ⅱ-证券Ⅲ,非银金融-证券Ⅱ-证券Ⅲ,中盘股、融资融券、西部大开发、参股期货、深股通、中证500、券商概念、标准普尔、深成500、互联网金融、陕西国企改革、央国企改革、富时罗素、金融地产风格、MSCI中国、破增发价股,0.110,6.83,6.55,1.12,1.40,3.37亿,26.51,1.0015,301.70亿,301.70亿,1000001680,False,1.66
32,600095,湘财股份,SH,8.08,1.64,证券Ⅱ,14.06,A股,3575.25万,4078.11万,非银金融-证券Ⅱ-证券Ⅲ,非银金融-证券Ⅱ-证券Ⅲ,中盘股、融资融券、东北振兴、上证380、中证500、沪股通、券商概念、参股券商、黑龙江自贸区、创投、互联网金融、金融地产风格、2025年报预增、参股银行,0.130,8.24,7.84,1.43,1.46,3.29亿,239.65,1.8779,231.02亿,231.02亿,1000008645,False,1.64
33,601136,首创证券,SH,14.50,1.61,证券Ⅱ,7.35,A股,1665.86万,1788.27万,非银金融-证券Ⅱ-证券Ⅲ,非银金融-证券Ⅱ-证券Ⅲ,HS300_、中盘股、互联网金融、融资融券、京津冀一体化、参股期货、央国企改革、中盘成长、上证380、金融地产风格、沪股通、券商概念,0.230,14.72,14.09,0.65,1.34,2.58亿,50.38,2.8017,396.33亿,396.33亿,1002793744,False,1.61
34,601236,红塔证券,SH,7.02,1.59,证券Ⅱ,6.82,A股,2960.57万,3162.60万,非银金融-证券Ⅱ-证券Ⅲ,非银金融-证券Ⅱ-证券Ⅲ,中盘股、融资融券、西部大开发、参股期货、中盘成长、上证380、中证500、沪股通、券商概念、央国企改革、富时罗素、金融地产风格、2025年报预增,0.110,7.12,6.80,0.67,1.39,2.21亿,42.24,1.3340,331.12亿,331.12亿,1001042723,False,1.59
35,002945,华林证券,SZ,14.38,1.55,证券Ⅱ,4.96,A股,1369.41万,1437.32万,非银金融-证券Ⅱ-证券Ⅲ,非银金融-证券Ⅱ-证券Ⅲ,创投、中盘股、互联网金融、融资融券、西部大开发、深股通、中盘成长、中证500、金融地产风格、券商概念、深成500,0.220,14.62,13.88,0.53,1.27,2.05亿,103.52,5.2807,388.26亿,388.26亿,1000803512,False,1.55
36,002797,第一创业,SZ,6.77,1.50,证券Ⅱ,18.98,A股,9693.69万,1.15亿,非银金融-证券Ⅱ-证券Ⅲ,非银金融-证券Ⅱ-证券Ⅲ,中盘股、区块链、融资融券、参股期货、深股通、中盘成长、中证500、券商概念、标准普尔、深圳特区、深成500、互联网金融、富时罗素、金融地产风格、MSCI中国,0.100,6.87,6.58,2.74,1.33,7.79亿,36.06,1.6095,284.50亿,284.50亿,1000314055,False,1.50
37,600864,哈投股份,SH,5.46,1.30,证券Ⅱ,9.34,A股,3890.44万,4253.65万,非银金融-证券Ⅱ-证券Ⅲ,非银金融-证券Ⅱ-证券Ⅲ,融资融券、东北振兴、参股期货、化债概念、沪股通、券商概念、参股券商、碳交易、黑龙江自贸区、小盘股、创投、互联网金融、央国企改革、小盘成长、碳中和、参股银行、REITs概念、破增发价股,0.070,5.54,5.30,2.04,1.30,2.31亿,35.74,0.8806,113.60亿,113.60亿,1000004036,False,1.30
38,600958,东方证券,SH,9.72,1.25,证券Ⅱ,37.79,A股,7429.78万,1.02亿,非银金融-证券Ⅱ-证券Ⅲ,非银金融-证券Ⅱ-证券Ⅲ,周期股、融资融券、参股期货、上证180_、证金持股、沪股通、券商概念、标准普尔、大盘股、IPO受益、HS300_、互联网金融、大盘价值、科创板做市商、富时罗素、金融地产风格、2025年报预增、MSCI中国,0.120,9.87,9.46,1.37,1.41,9.93亿,13.01,1.0093,825.87亿,726.03亿,1000304609,False,1.25
39,601456,国联民生,SH,9.18,1.10,证券Ⅱ,7.48,A股,4691.82万,5042.95万,非银金融-证券Ⅱ-证券Ⅲ,非银金融-证券Ⅱ-证券Ⅲ,中盘股、融资融券、中盘成长、上证380、沪股通、券商概念、HS300_、互联网金融、央国企改革、金融地产风格、2025年报预增、MSCI中国、破增发价股,0.100,9.31,8.92,1.15,1.11,4.60亿,26.24,0.9749,521.48亿,401.81亿,1000868277,False,1.10
